fips_code,total
12001,149
12003,2
12005,51
12007,3
12009,148
12011,5060
12015,28
12017,11
12019,77
12021,329
12023,8
12029,3
12031,721
12033,91
12035,27
12039,19
12043,1
12047,2
12051,9
12053,55
12055,14
12057,2193
12059,4
12061,36
12063,7
12065,2
12069,170
12071,555
12073,185
12075,8
12079,1
12081,171
12083,107
12085,18
12086,12870
12087,73
12089,5
12091,59
12093,2
12095,5062
12097,1605
12099,2134
12101,245
12103,518
12105,551
12107,12
12109,52
12111,225
12113,16
12115,119
12117,432
12119,10
12121,2
12123,3
12125,1
12127,154
12131,28
12133,1
